year,gat,cat,year,7year gat,7year cat
1750,8.72,14.62,1750,,
1751,7.98,15.36,1751,,
1752,5.78,8.3,1752,,
1753,8.39,14,1753,,
1754,8.47,14.11,1754,,
1755,8.36,11.66,1755,,
1756,8.85,14.24,1756,8.078571429,13.18428571
1757,9.02,13.62,1757,8.121428571,13.04142857
1758,6.74,12.55,1758,7.944285714,12.64
1759,7.99,13.55,1759,8.26,13.39
1760,7.19,12.1,1760,8.088571429,13.11857143
1761,8.77,14.52,1761,8.131428571,13.17714286
1762,8.61,14,1762,8.167142857,13.51142857
1763,7.5,11.94,1763,7.974285714,13.18285714
1764,8.4,13.96,1764,7.885714286,13.23142857
1765,8.25,13.58,1765,8.101428571,13.37857143
1766,8.41,14.45,1766,8.161428571,13.50714286
1767,8.22,13.22,1767,8.308571429,13.66714286
1768,6.78,12.86,1768,8.024285714,13.43
1769,7.69,13.73,1769,7.892857143,13.39142857
1770,7.69,13.59,1770,7.92,13.62714286
1771,7.85,14.48,1771,7.841428571,13.70142857
1772,8.19,14.23,1772,7.832857143,13.79428571
1773,8.22,14.37,1773,7.805714286,13.78285714
1774,8.77,13.93,1774,7.884285714,13.88428571
1775,9.18,14.86,1775,8.227142857,14.17
1776,8.3,13.64,1776,8.314285714,14.15714286
1777,8.26,13.56,1777,8.395714286,14.15285714
1778,8.54,11.19,1778,8.494285714,13.68285714
1779,8.98,6.06,1779,8.607142857,12.51571429
1780,9.43,,1780,8.78,12.20666667
1781,8.1,14.13,1781,8.684285714,12.24
1782,7.9,13.65,1782,8.501428571,12.03833333
1783,7.68,13.4,1783,8.412857143,11.99833333
1784,7.86,13.35,1784,8.355714286,11.96333333
1785,7.36,13.16,1785,8.187142857,12.29166667
1786,8.26,13.7,1786,8.084285714,13.565
1787,8.03,13.73,1787,7.884285714,13.58857143
1788,8.45,14.24,1788,7.934285714,13.60428571
1789,8.33,13.98,1789,7.995714286,13.65142857
1790,7.98,13.89,1790,8.038571429,13.72142857
1791,8.23,14.08,1791,8.091428571,13.82571429
1792,8.09,13.57,1792,8.195714286,13.88428571
1793,8.23,14.15,1793,8.191428571,13.94857143
1794,8.53,14.25,1794,8.262857143,14.02285714
1795,8.35,13.97,1795,8.248571429,13.98428571
1796,8.27,13.78,1796,8.24,13.95571429
1797,8.51,13.7,1797,8.315714286,13.92857143
1798,8.67,14.45,1798,8.378571429,13.98142857
1799,8.51,14.12,1799,8.438571429,14.06
